# Title: PerfSnippet record
# Generated by: PerfSnippet
# Datetime: 20230314_201937
# Description: Some performance data of Android device
#
# ENABLE_DEBUG true ENABLE_MEMINFO true ENABLE_CPUINFO true CONFIG_PS_INTERVAL 2 CONFIG_PS_DURATION 1200
#
# Index MemFree(MB) MemAvai(MB) Usage(%) USR(%) SYS(%) Other(%) Idle(%)
489 422 3266 32.82 23.94 7.49 1.38 67.18
490 399 3249 42.16 27.15 7.05 7.94 57.84
491 407 3258 44.65 22.13 8.42 14.08 55.35
492 405 3240 45.69 24.32 7.92 13.44 54.31
493 374 3195 53.59 31.73 11.73 10.11 46.41
494 569 3443 78.82 42.53 20.50 15.77 21.18
495 564 3427 40.45 16.83 9.55 14.05 59.55
496 545 3377 27.65 9.73 5.58 12.32 72.35
497 538 3340 31.52 13.03 6.81 11.66 68.48
498 544 3316 12.91 7.90 3.92 1.07 87.09
499 461 3343 44.18 21.27 11.02 11.87 55.82
500 474 3357 20.85 4.46 4.61 11.77 79.15
501 472 3341 20.97 11.76 8.16 1.03 79.03
502 536 3446 23.41 9.26 8.50 5.63 76.59
503 511 3446 29.50 3.78 9.99 15.71 70.50
504 483 3420 20.99 2.97 4.76 13.24 79.01
505 485 3422 20.37 5.06 8.07 7.21 79.63
506 773 3566 35.27 14.30 15.22 5.73 64.73
507 771 3551 29.86 10.94 5.47 13.43 70.14
508 783 3550 25.90 8.25 4.50 13.15 74.10
509 762 3531 21.95 11.73 7.10 3.11 78.05
510 745 3636 23.56 10.28 7.21 6.05 76.44
511 723 3600 28.86 9.95 5.17 13.72 71.14
512 724 3571 22.93 8.71 5.28 8.91 77.07
513 704 3553 23.81 13.47 8.01 2.31 76.19
514 678 3483 24.99 15.41 7.40 2.16 75.01
515 615 3421 21.53 11.70 6.22 3.58 78.47
516 604 3553 26.28 11.22 7.69 7.35 73.72
517 619 3554 23.29 13.54 8.30 1.43 76.71
518 607 3527 17.72 9.49 6.61 1.61 82.28
519 588 3478 17.26 9.05 5.19 3.00 82.74
520 584 3459 34.27 13.44 7.69 13.13 65.73
521 588 3435 29.42 10.35 5.78 13.27 70.58
522 583 3540 29.50 14.00 6.91 8.58 70.50
523 581 3524 20.33 11.29 7.31 1.71 79.67
524 577 3520 31.12 10.64 6.65 13.81 68.88
525 501 3433 31.58 18.16 4.75 8.65 68.42
526 408 3329 76.17 55.08 13.82 7.25 23.83
527 291 3188 61.53 45.11 12.41 3.99 38.47
528 244 3088 60.89 38.95 16.96 4.96 39.11
529 109 3176 65.86 42.43 15.49 7.92 34.14
530 118 3217 57.00 28.17 13.98 14.82 43.00
531 109 3269 36.55 18.47 10.03 8.03 63.45
532 107 3274 33.28 20.93 9.50 2.83 66.72
533 113 3239 27.19 14.36 10.63 2.18 72.81
534 157 3424 24.65 6.35 5.48 12.80 75.35
535 106 3396 15.55 4.00 9.00 2.55 84.45
536 94 3398 5.94 1.72 3.75 0.45 94.06
537 194 3407 21.79 9.15 10.41 2.22 78.21
538 142 3341 28.96 18.18 8.92 1.85 71.04
539 116 3270 24.75 13.15 9.72 1.86 75.25
540 113 3252 13.66 6.52 6.17 0.96 86.34
541 227 3399 26.29 14.64 8.33 3.30 73.71
542 238 3511 21.82 13.33 7.04 1.43 78.18
543 246 3504 14.53 6.78 6.42 1.31 85.47
544 245 3473 28.66 13.63 9.58 5.43 71.34
545 241 3456 29.52 9.97 6.13 13.40 70.48
546 227 3434 32.88 10.87 6.74 15.25 67.12
547 209 3386 18.62 10.46 5.93 2.22 81.38
548 214 3520 17.97 9.70 7.30 0.95 82.03
549 211 3502 21.76 13.73 6.91 1.10 78.24
550 239 3516 27.41 10.26 5.89 11.23 72.59
551 254 3517 28.36 10.58 7.60 10.16 71.64
552 183 3417 41.51 23.71 13.04 4.75 58.49
553 162 3366 36.54 20.04 14.52 1.96 63.46
554 173 3493 39.98 18.86 10.77 10.33 60.02
555 147 3472 46.42 26.11 13.77 6.52 53.58
556 108 3403 45.27 21.70 9.31 14.24 54.73
557 110 3269 39.30 19.49 8.41 11.38 60.70
558 111 3242 34.49 17.31 8.33 8.83 65.51
559 156 3266 53.89 26.60 12.71 14.56 46.11
560 167 3278 32.14 14.54 11.49 6.09 67.86
561 190 3290 41.79 24.41 14.49 2.86 58.21
562 280 3285 53.25 29.55 20.68 3.01 46.75
563 851 1713 72.76 32.45 31.90 8.39 27.24
564 851 1713 72.76 32.45 31.90 8.39 27.24934 3159 98.70 50.65 36.49 11.54 1.30
565 799 3175 86.94 56.72 18.25 11.95 13.06
566 818 3289 35.16 16.85 14.09 4.21 64.84
567 831 3276 36.04 17.14 14.20 4.68 63.96
568 817 3275 20.30 6.43 10.69 3.16 79.70
569 822 3246 23.18 9.51 12.27 1.38 76.82
570 817 3242 17.23 6.34 9.62 1.25 82.77
571 779 3189 28.71 13.64 13.22 1.84 71.29
572 759 3156 29.68 17.56 10.32 1.78 70.32
573 771 3153 41.27 22.07 16.14 3.04 58.73
574 757 3125 43.47 24.42 16.82 2.21 56.53
575 699 3078 45.29 27.97 15.38 1.91 54.71
576 816 3181 41.37 23.09 16.48 1.78 58.63
577 794 3129 41.42 30.43 9.04 1.93 58.58
578 709 3031 59.57 40.68 14.07 4.80 40.43
579 776 3092 37.49 21.37 13.71 2.39 62.51
580 699 3018 47.45 30.14 14.57 2.72 52.55
581 656 3134 62.05 42.46 16.20 3.37 37.95
582 667 3146 45.00 31.08 12.08 1.82 55.00
583 633 3084 54.97 38.48 13.03 3.44 45.03
584 638 3075 48.43 32.22 14.08 2.10 51.57
585 580 3050 55.53 36.04 16.65 2.82 44.47
586 651 3108 66.23 39.91 18.75 7.54 33.77
587 628 3056 58.69 35.54 16.42 6.71 41.31
588 605 2997 54.24 35.39 12.28 6.55 45.76
589 588 2941 56.16 34.21 16.11 5.82 43.84
590 618 3074 60.67 36.61 19.13 4.91 39.33
591 608 3085 51.73 31.80 13.63 6.28 48.27
592 598 3046 58.71 30.94 12.22 15.53 41.29
593 591 3025 57.26 29.55 12.30 15.40 42.74
594 539 2921 57.77 36.61 15.53 5.61 42.23
595 532 2884 50.88 31.70 13.89 5.27 49.12
596 542 2880 54.93 29.74 9.80 15.37 45.07
597 533 2997 54.97 33.28 14.25 7.42 45.03
598 524 2959 49.69 31.11 14.11 4.45 50.31
599 522 2943 51.18 32.13 14.62 4.42 48.82
600 539 3051 57.30 28.26 21.70 7.32 42.70
