# Title: PerfSnippet record
# Generated by: PerfSnippet
# Datetime: 20230314_174332
# Description: Some performance data of Android device
#
# ENABLE_DEBUG true ENABLE_MEMINFO true ENABLE_CPUINFO true CONFIG_PS_INTERVAL 2 CONFIG_PS_DURATION 6400
#
# Index MemFree(MB) MemAvai(MB) Usage(%) USR(%) SYS(%) Other(%) Idle(%)
1  27.64 11.87 12.67 3.07 72.36
2  71.00 34.97 20.83 15.18 29.00
3  89.87 50.35 26.38 13.12 10.13
4  86.55 52.42 23.25 10.85 13.45
5  69.57 33.28 21.60 14.67 30.43
6  48.76 29.19 15.09 4.46 51.24
7  67.80 30.40 27.19 10.19 32.20
8  47.05 27.38 16.64 3.02 52.95
9  38.70 21.51 12.83 4.34 61.30
10  44.34 24.63 16.13 3.56 55.66
11  56.26 33.17 18.23 4.85 43.74
12  53.53 33.14 15.25 5.13 46.47
13  50.08 32.58 13.55 3.93 49.92
14  32.92 16.92 11.95 4.03 67.08
15  35.90 17.85 14.15 3.89 64.10
16  29.75 15.48 11.46 2.79 70.25
17  24.56 12.05 10.00 2.50 75.44
18  32.54 16.48 12.86 3.19 67.46
19  46.62 26.69 15.91 4.01 53.38
20  36.44 17.27 15.90 3.25 63.56
21  27.35 10.03 13.89 3.41 72.65
22  29.40 14.39 11.95 3.03 70.60
23  30.76 15.68 11.93 3.13 69.24
24  25.36 9.68 11.57 4.09 74.64
25  34.93 9.07 19.89 5.95 65.07
26  30.55 11.62 14.80 4.11 69.45
27  26.82 7.84 14.05 4.92 73.18
28  32.66 12.52 17.07 3.05 67.34
29  28.69 12.94 12.18 3.55 71.31
30  29.51 12.81 13.03 3.66 70.49
31  28.84 12.83 12.68 3.31 71.16
32  28.64 12.62 12.52 3.48 71.36
33  45.68 25.46 16.66 3.54 54.32
34  43.80 23.85 16.32 3.61 56.20
35  33.87 17.08 13.98 2.79 66.13
36  35.16 18.85 13.39 2.89 64.84
37  43.05 22.49 17.33 3.21 56.95
38  55.19 32.48 18.94 3.75 44.81
39  48.81 30.73 13.87 4.20 51.19
40  36.70 19.39 13.38 3.90 63.30
41  33.78 17.75 13.51 2.51 66.22
42  35.23 18.12 13.92 3.17 64.77
43  39.42 19.34 16.14 3.92 60.58
44  36.44 18.75 14.29 3.38 63.56
45  29.76 13.87 12.89 2.97 70.24
46  24.34 12.47 9.27 2.58 75.66
47  30.09 13.23 13.27 3.56 69.91
48  34.01 16.18 14.01 3.80 65.99
49  38.49 20.28 14.93 3.26 61.51
50  41.99 24.23 14.58 3.16 58.01
51  33.56 17.35 13.11 3.08 66.44
52  39.17 20.15 15.66 3.34 60.83
53  34.40 16.22 15.55 2.60 65.60
54  47.09 24.37 18.75 3.95 52.91
55  35.89 18.34 14.83 2.71 64.11
56  40.30 18.37 17.43 4.49 59.70
57  63.87 28.45 28.89 6.51 36.13
58  65.11 28.75 26.59 9.75 34.89
59  52.98 20.16 23.58 9.22 47.02
60  50.25 19.26 22.47 8.51 49.75
61  50.83 20.44 22.82 7.54 49.17
62  53.64 30.85 17.50 5.27 46.36
63  40.55 21.97 15.07 3.49 59.45
64  34.17 18.11 13.06 2.98 65.83
65  43.48 22.95 17.17 3.34 56.52
66  31.66 15.87 12.73 3.04 68.34
67  29.16 16.00 10.23 2.92 70.84
68  40.43 20.81 16.60 3.00 59.57
69  50.54 30.08 16.62 3.81 49.46
70  50.72 31.89 15.37 3.44 49.28
71  51.00 31.69 15.88 3.41 49.00
72  57.99 35.03 19.55 3.38 42.01
73  50.19 32.35 14.68 3.14 49.81
74  39.75 22.41 14.49 2.82 60.25
75  37.74 19.65 15.30 2.77 62.26
76  31.79 17.35 12.17 2.25 68.21
77  32.23 16.25 13.26 2.70 67.77
78  32.69 16.77 12.96 2.95 67.31
79  42.25 21.31 17.26 3.66 57.75
80  38.47 19.69 15.78 2.99 61.53
81  31.86 16.33 12.46 3.05 68.14
82  34.23 17.13 13.70 3.37 65.77
83  40.32 21.18 15.71 3.41 59.68
84  37.76 20.35 13.72 3.66 62.24
85  28.36 15.37 10.84 2.13 71.64
86  27.41 11.35 12.86 3.17 72.59
87  33.44 17.71 12.60 3.11 66.56
88  37.00 23.95 10.50 2.55 63.00
89  41.89 22.09 15.86 3.92 58.11
